State	Latitude	Longitude
Amazonas	3.173823058	-65.54660405
Anzoategui	10.16995933	-64.68001612
Apure	7.239983133	-70.73998214
Aragua	10.2468797	-67.59580713
Barinas	8.59997764	-70.25001205
Bolivar	8.020426452	-62.40999964
Carabobo	10.47043194	-68.17000981
Cojedes	9.657999007	-68.58999854
Distrito Capital	10.41996991	-67.02002832
Falcon	11.42001223	-69.67999516
Guarico	9.900999019	-67.35400159
Lara	10.18998395	-70.07999658
Merida	8.399989847	-71.13001001
Miranda	10.11998822	-66.77999129
Monagas	9.060492166	-62.05999516
Nueva Esparta	11.03333403	-63.8833315
Portuguesa	9.049976012	-69.75001673
Sucre	10.67000633	-63.23000126
Tachira	7.770002461	-72.24996749
Trujillo	9.319959533	-70.6200153
Vargas	10.60039817	-66.9699797
Yaracuy	10.33599598	-68.74599552
Zulia	10.07043052	-72.54994918
